id;rooms;area;rent;nre;econage;balcony
1;1;34;310;0;35;yes
2;1;35;749;0;44;no
3;1;50;281;0;23;yes
4;1;45;483;0;35;no
5;4;75;1510;0;32;no
6;1;35;515;0;43;no
7;1;40;530;0;34;NA
8;1;43;480;0;35;no
9;3;65;870;1;35;yes
10;1;45;560;0;36;no
11;1;37;580;0;39;no
12;3;45;625;1;29;no
13;1;60;510;0;60;no
14;1;28;650;1;33;no
15;2;60;750;0;48;no
16;1;40;695;1;28;no
17;1;55;1284;1;21;yes
18;1;40;589;0;39;no
19;1;34;435;1;31;yes
20;3;45;530;0;32;no
21;1;32;914;0;42;no
22;1;40;274;0;41;yes
23;1;18;857;0;38;NA
24;1;50;600;0;44;no
25;1;45;775;1;40;yes
26;1;35;880;0;36;no
27;1;40;876;0;32;no
28;1;35;475;0;38;no
29;2;40;1025;0;43;yes
30;2;50;490;0;33;no
31;2;77;772;1;32;no
32;2;45;628;0;37;NA
33;2;45;950;0;34;yes
34;2;40;600;0;43;no
35;2;65;1000;0;36;no
36;2;113;2010;0;19;yes
37;2;60;1095;0;37;no
38;2;40;570;0;43;no
39;3;100;775;0;32;yes
40;2;56;749;1;25;no
41;2;40;605;0;29;no
42;2;55;589;0;23;yes
43;2;60;580;0;28;yes
44;2;81;800;0;33;yes
45;2;58;850;0;30;no
46;2;75;1245;1;31;no
47;2;72;1080;1;29;no
48;2;70;920;0;25;no
49;2;40;900;0;34;yes
50;2;70;1595;0;29;yes
51;2;60;1870;1;12;no
52;2;60;1275;0;21;no
53;2;58;1510;0;51;no
54;2;90;1120;0;43;no
55;2;45;1040;1;55;no
56;2;65;1695;0;26;no
57;2;75;990;0;36;NA
58;3;79;1639;0;16;no
59;3;71;614;0;33;yes
60;3;79;2565;0;18;no
61;3;87;896;0;36;yes
62;3;97;1096;0;30;no
63;3;79;1025;0;23;no
64;3;63;2907;1;17;no
65;3;77;974;0;21;no
66;3;75;870;0;24;no
67;3;91;675;0;19;no
68;3;80;855;0;43;yes
69;3;80;860;0;30;no
70;3;75;520;0;40;no
71;3;100;980;0;35;no
72;3;79;1220;0;36;NA
73;3;80;1398;0;28;yes
74;3;93;870;0;31;no
75;3;75;840;0;36;no
76;3;79;1042;1;29;no
77;3;75;850;0;22;NA
78;3;105;1547;0;18;yes
79;3;88;1731;1;29;yes
80;3;80;1481;0;22;no
81;3;75;1040;0;32;NA
82;3;80;920;0;31;yes
83;3;75;1035;0;28;yes
84;3;75;250;0;26;yes
85;3;87;1050;0;36;no
86;3;100;1485;0;25;yes
87;3;98;1830;0;19;yes
88;3;79;970;0;18;no
89;3;89;1260;0;36;no
90;3;79;895;0;32;yes
91;4;100;955;0;22;no
92;4;109;1245;0;19;no
93;4;87;1226;1;21;yes
94;4;85;800;0;26;no
95;4;100;535;1;30;yes
96;4;180;1040;0;39;yes
97;4;89;672;1;30;yes
98;4;89;3677;0;21;yes
99;4;100;1250;1;21;no
100;4;100;1008;1;43;yes
101;4;109;1375;1;30;NA
102;4;99;3143;1;23;NA
103;4;90;870;0;17;yes
104;4;100;1025;0;35;yes
105;4;96;1750;0;19;yes
106;4;125;650;1;32;yes
107;4;90;1470;1;20;no
108;4;99;1570;0;36;yes
109;4;106;1510;1;22;yes
110;4;105;1552;1;29;yes
111;4;101;1301;1;35;yes
112;4;100;1037;1;32;no
113;4;101;1480;1;40;yes
114;4;85;1460;1;30;NA
115;4;105;1325;1;28;yes
116;4;90;1510;0;16;no
117;4;100;2125;0;24;yes
118;4;100;1835;1;21;yes
119;4;105;2930;0;22;yes
120;4;93;1745;0;24;yes
121;4;110;1660;1;29;NA
122;5;129;1040;1;14;yes
123;5;138;1204;1;23;yes
124;5;124;1305;1;23;no
125;5;174;2730;0;12;yes
126;5;130;1679;0;23;yes
127;5;131;1320;0;16;yes
128;5;115;1645;0;22;yes
129;5;135;1560;1;10;yes
130;5;121;1085;1;27;yes
131;5;134;1395;0;34;yes
132;5;143;1920;0;26;yes
133;5;120;1945;1;20;yes
134;5;121;1825;1;15;yes
135;5;90;1770;1;18;yes
136;5;145;2000;1;19;yes
137;5;200;2345;0;7;yes
138;5;109;1555;1;19;NA
139;5;125;1725;1;26;yes
140;5;180;2130;1;5;yes
141;5;140;2520;0;15;yes
142;5;121;3130;1;19;yes
143;5;140;1430;1;27;yes
144;5;121;1480;1;29;yes
145;5;135;1730;0;21;NA
146;6;135;1565;1;18;yes
147;6;146;1225;0;26;yes
148;6;250;2230;0;29;yes
149;6;112;1954;0;26;NA
150;6;150;1475;0;20;yes
151;6;180;4725;1;0;no
152;6;122;1050;0;27;no
